City;Population;Violent_crime;Murder;"Rape
(revised
definition)1";Rape;Robbery;Assault;Property_crime;Burglary;"Larceny-
theft";Motor_vehicle_theft;Arson3
New York;8396126;52384;335;;1112;19170;31767;141971;16606;117931;7434;
Buffalo;258789;3249;47;;145;1322;1735;12491;3458;8076;957;
Rochester;210562;2107;42;;92;918;1055;10051;2587;6855;609;132
Syracuse;143834;1192;21;;75;400;696;6473;1781;4298;394;57
Albany;97956;791;8;;30;227;526;4090;705;3243;142;
Niagara Falls;49574;584;3;;12;166;403;2807;746;1949;112;22
Schenectady;66041;607;8;;31;203;365;2800;769;1878;153;
Cheektowaga Town;78361;158;0;;11;48;99;2689;345;2271;73;2
Utica;61686;361;7;;27;102;225;2528;449;1997;82;
Yonkers;199134;1036;6;;25;390;615;2368;470;1662;236;10
Binghamton;46304;284;3;;19;101;161;2349;525;1767;57;
Greece Town;96667;151;0;;9;60;82;2303;332;1925;46;
Amherst Town;118296;107;1;;7;31;68;2118;204;1882;32;3
Colonie Town;78215;63;0;;0;31;32;1990;186;1753;51;10
Troy;49898;371;1;;14;145;211;1985;593;1305;87;5
Clarkstown Town;80705;65;0;;8;17;40;1515;99;1388;28;
Mount Vernon;68071;554;2;;7;228;317;1436;317;972;147;
New Rochelle;78800;175;0;;5;81;89;1391;150;1172;69;
Irondequoit Town;51506;93;1;;6;51;35;1353;271;1049;33;
Newburgh Town;30984;38;0;;5;15;18;1353;143;1182;28;2
Poughkeepsie Town;43866;39;1;;1;12;25;1339;125;1203;11;
White Plains;57559;78;1;;3;28;46;1232;77;1134;21;
Hamburg Town;45535;38;1;;1;12;24;1167;134;1012;21;6
Watertown;28179;109;0;;12;16;81;1165;169;953;43;
Jamestown;30658;168;0;;19;39;110;1140;281;829;30;
Tonawanda Town;58082;118;1;;5;26;86;1099;190;882;27;1
Gates Town;28468;57;0;;4;19;34;1051;95;922;34;
Newburgh;28571;435;5;;21;150;259;1040;304;673;63;15
Elmira;28921;81;0;;2;29;50;1027;224;790;13;
Southampton Town;50603;44;0;;6;16;22;1020;219;752;49;1
Hempstead Village;55198;433;10;;3;204;216;958;206;630;122;2
Johnson City Village;14866;69;1;;6;20;42;949;111;828;10;
Freeport Village;43214;152;0;;2;76;74;933;168;698;67;8
Riverhead Town;33789;64;0;;3;26;35;922;160;729;33;0
West Seneca Town;44821;35;1;;1;9;24;896;166;710;20;0
Auburn;27270;96;1;;20;22;53;859;132;721;6;
Middletown;27809;114;1;;6;47;60;852;136;683;33;4
Rotterdam Town;29146;33;2;;4;16;11;829;109;700;20;4
New Hartford Town and Village;20355;13;0;;1;3;9;806;72;730;4;
Brighton Town;36689;26;1;;2;10;13;793;142;623;28;
Poughkeepsie;30778;286;7;;16;100;163;787;189;589;9;
Wallkill Town;27940;40;0;;3;16;21;767;91;650;26;1
Dewitt Town;22681;20;0;;0;10;10;715;85;618;12;0
Kingston;23665;74;1;;4;25;44;687;112;565;10;1
Gloversville;15315;33;0;;9;6;18;686;111;560;15;0
Guilderland Town;33805;12;0;;3;5;4;672;48;623;1;
Rome;32557;47;4;;0;23;20;662;157;470;35;2
Lockport;20904;70;0;;6;24;40;649;120;523;6;
Saratoga Springs;27081;33;1;;3;8;21;642;84;550;8;
Oswego City;18139;54;1;;3;13;37;630;83;533;14;
Endicott Village;13122;46;0;;4;13;29;604;138;455;11;
Olean;14150;40;0;;5;5;30;593;76;508;9;
North Tonawanda;31176;41;1;;8;17;15;586;114;455;17;
Greenburgh Town;44787;48;1;;5;16;26;578;55;501;22;
Port Chester Village;29328;48;0;;2;19;27;572;67;483;22;0
Vestal Town;27980;16;0;;2;6;8;571;39;523;9;
Ramapo Town;87204;57;2;;5;9;41;567;88;466;13;
Batavia;15374;57;0;;7;13;37;559;103;454;2;
Lancaster Town;36369;15;0;;1;4;10;547;44;494;9;0
Woodbury Town;10685;3;0;;0;2;1;541;9;529;3;
Lackawanna;17965;89;1;;13;11;64;533;100;398;35;3
Glenville Town;21839;13;0;;0;2;11;492;57;424;11;
Niagara Town;8241;13;0;;0;2;11;489;48;427;14;
Plattsburgh City;19672;39;0;;3;4;32;483;79;396;8;
New Windsor Town;25767;31;0;;1;8;22;471;65;394;12;4
Webster Town and Village;43777;21;0;;2;3;16;469;101;361;7;
Fulton City;11739;24;0;;3;7;14;463;81;376;6;1
Bethlehem Town;34243;13;0;;0;3;10;442;50;388;4;
Cicero Town;29571;12;0;;0;2;10;440;45;393;2;
Ulster Town;12195;14;0;;3;2;9;437;25;410;2;
Oneida;11220;18;0;;2;4;12;434;68;357;9;
Corning;11087;35;0;;3;8;24;416;63;349;4;0
Massena Village;10808;22;0;;2;2;18;410;52;358;0;
Amsterdam;18182;30;0;;0;12;18;405;99;291;15;0
Spring Valley Village;32288;132;2;;9;34;87;404;53;335;16;
Manlius Town;24461;18;0;;0;4;14;402;56;343;3;0
Cortland;19331;18;0;;3;3;12;398;88;306;4;1
Ogdensburg;11072;23;0;;1;5;17;397;72;321;4;2
Herkimer Village;7693;53;0;;9;3;41;379;49;330;0;1
East Greenbush Town;16470;12;0;;0;4;8;373;36;330;7;4
Camillus Town and Village;24165;14;0;;1;0;13;348;36;307;5;1
Garden City Village;22596;10;0;;0;4;6;346;33;303;10;2
Orchard Park Town;29386;16;0;;2;4;10;346;37;297;12;0
Geneva;13194;28;1;;4;5;18;343;65;275;3;1
